split_iter,l2_distance,rms_difference,train_loss_barrier,test_loss_barrier,train_loss_barrier_rel,test_loss_barrier_rel,train_acc_barrier_rel,test_acc_barrier_rel,min_train_acc,min_test_acc,endpoint_avg_train_loss,endpoint_avg_test_loss,endpoint_avg_train_acc,endpoint_avg_test_acc,max_train_loss,max_test_loss
0,34.47794802371096,0.008830307849545204,2.3387037581767514,1.5375723152160643,6554.747264696539,1.9145567570668398,0.899999999999991,0.8828971251244115,10.0,10.0,0.0003567954121157527,0.8030957084655762,100.0,85.39500000000001,2.339060553588867,2.3406680236816406
25,33.731482934552545,0.00863912719889645,2.330701127197705,1.5519681178569795,6589.171738308909,1.9895076585528968,0.899999999999991,0.8831092928112112,10.0,10.0,0.000353716857470572,0.7800764732837677,100.0,85.55,2.331054844055176,2.3320445911407472
100,33.78946400283951,0.008653977000342502,2.3276742735621707,1.5431177871704103,6288.260629309195,1.9647832798425457,0.899999999999991,0.8831024606931921,10.0,10.0,0.0003701618626341224,0.7853882934570312,100.0,85.54499999999999,2.328044435424805,2.3285060806274416
1000,31.15797265745137,0.007980013495692781,2.1451921355393715,1.3851252844810487,5911.996640978257,1.788407889882055,0.8749799999999913,0.8563413208649812,12.502,12.29,0.0003628540846519172,0.7745018864631652,100.0,85.55,2.1455549896240234,2.159627170944214
5000,27.488144559510715,0.007040116729288903,0.7703244061035104,0.16207155613899238,2115.4442399049994,0.20660065969052258,0.10887999999999896,0.08656995788488425,89.112,78.08,0.0003641430908255279,0.7844677571773528,100.0,85.47999999999999,0.7706885491943359,0.9465393133163452
